default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_2,job,people_under_maintenance,telephone,foreign_worker
0,1,1,1,1,1512,1,2,1,1,1,1,1,50,1,1,1,1,1,1,1
0,2,14,1,4,2929,2,2,2,1,1,1,1,29,1,1,1,1,1,1,1
0,1,23,1,1,1885,2,1,2,1,1,2,1,25,1,1,1,1,1,1,1
0,2,34,1,3,292,2,1,1,1,1,1,1,24,1,1,1,1,1,1,1
0,2,11,1,3,2894,1,2,1,1,1,2,1,42,1,1,1,1,1,1,1
0,3,20,1,3,2552,2,2,1,1,1,2,1,31,1,1,1,1,1,1,1
0,1,38,1,1,2978,2,2,1,1,1,2,1,38,1,1,1,1,1,1,1
0,3,22,2,2,1630,1,2,2,1,1,2,1,20,1,1,1,1,1,1,1
0,1,11,1,1,3640,1,2,1,1,1,1,1,46,1,1,1,1,1,1,1
0,1,25,2,4,3654,1,1,1,1,1,1,1,27,1,1,1,1,1,1,1
0,1,27,1,2,3269,1,2,2,1,1,2,1,33,1,1,1,1,1,1,1
0,3,14,2,1,1881,2,1,1,1,1,2,1,39,1,1,1,1,1,1,1
0,2,4,1,1,2254,2,1,1,1,1,1,1,30,1,1,1,1,1,1,1
0,3,28,1,4,3952,1,2,1,1,1,2,1,37,1,1,1,1,1,1,1
0,3,22,1,4,3615,1,2,1,1,1,1,1,42,1,1,1,1,1,1,1
0,1,21,2,1,3412,2,2,2,1,1,1,1,13,1,1,1,1,1,1,1
0,2,26,2,2,2847,1,2,1,1,1,2,1,43,1,1,1,1,1,1,1
0,2,13,1,1,3119,1,2,2,1,1,2,1,22,1,1,1,1,1,1,1
0,2,14,2,3,4104,2,1,1,1,1,1,1,52,1,1,1,1,1,1,1
0,2,1,1,3,818,2,1,2,1,1,1,1,39,1,1,1,1,1,1,1
0,1,40,1,1,5271,1,2,1,1,1,2,1,41,1,1,1,1,1,1,1
0,2,30,1,3,1707,1,1,2,1,1,1,1,14,1,1,1,1,1,1,1
0,1,13,1,2,1522,2,1,1,1,1,2,1,40,1,1,1,1,1,1,1
0,1,16,2,1,2371,1,2,1,1,1,1,1,40,1,1,1,1,1,1,1
0,2,30,1,3,4067,2,1,1,1,1,1,1,38,1,1,1,1,1,1,1
0,3,24,1,1,2479,2,1,1,1,1,2,1,52,1,1,1,1,1,1,1
0,1,15,1,3,1968,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1
0,3,25,1,3,4312,2,1,2,1,1,2,1,37,1,1,1,1,1,1,1
0,1,33,1,4,2073,2,2,2,1,1,1,1,46,1,1,1,1,1,1,1
0,2,27,2,3,3369,1,2,2,1,1,2,1,34,1,1,1,1,1,1,1
0,2,28,1,4,3345,2,2,2,1,1,2,1,40,1,1,1,1,1,1,1
0,3,25,1,1,4770,1,2,1,1,1,2,1,36,1,1,1,1,1,1,1
0,1,23,1,3,6479,1,2,1,1,1,2,1,30,1,1,1,1,1,1,1
0,2,31,1,3,2337,2,1,2,1,1,1,1,32,1,1,1,1,1,1,1
0,2,33,1,3,1,1,2,1,1,1,1,1,27,1,1,1,1,1,1,1
0,2,32,2,4,6231,2,1,2,1,1,1,1,37,1,1,1,1,1,1,1
0,1,16,1,3,1981,1,1,1,1,1,1,1,27,1,1,1,1,1,1,1
0,3,20,2,2,3821,2,2,1,1,1,1,1,43,1,1,1,1,1,1,1
